,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
181,_548rjujxr,euclidean,misaligned,,,0.251188643150958,,,100,0.5260894656966216,0.8,30,52.237751572799546
182,_548rjujxr,discrete,misaligned,,,0.001,,,100,0.6080888753853484,0.8,30,50.63241896919815
183,_54bqgdsot,cycle_and_distribution,misaligned,,,0.1258925411794167,1.2284203200389046,0.0095340104082646,100,0.9491305864947904,0.3,30,31.181723537033776
184,_54bqgdsot,euclidean,misaligned,,,0.251188643150958,,,100,0.5444126442636575,0.3,30,48.35535792973208
185,_54bqgdsot,discrete,misaligned,,,0.0019952623149688,,,100,0.0173732284432163,1.5,30,52.734171268907815
186,_552gc9itw,cycle_and_distribution,misaligned,,,0.0158489319246111,1.496991579440067,0.002990659240586,100,0.8475312958841424,1.3,30,52.808884977492816
187,_552gc9itw,euclidean,misaligned,,,0.0019952623149688,,,100,0.5333819222092164,0.4,30,53.146542216099895
188,_552gc9itw,discrete,misaligned,,,0.0019952623149688,,,100,0.2389193839813502,1.5,30,54.57847790331364
189,_56badlnz3,cycle_and_distribution,aligned,,,0.1258925411794167,1.5179969311618118,0.0057620442440189,100,0.7239172055487179,0.2,30,32.67897603622063
190,_56badlnz3,euclidean,aligned,,,0.1258925411794167,,,100,0.5720049082494336,0.3,30,43.28163895755019
191,_56badlnz3,discrete,aligned,,,0.0019952623149688,,,100,0.7548649601767924,1.4,30,54.29521153129863
192,_57sruzgoa,cycle_and_distribution,misaligned,,,0.0158489319246111,1.3014217086587023,0.0070856706172929,100,0.4417527942487258,0.3,30,48.24462929093919
193,_57sruzgoa,euclidean,misaligned,,,0.0316227766016837,,,100,0.9178510962512808,0.4,30,47.509817268239374
194,_57sruzgoa,discrete,misaligned,,,0.0019952623149688,,,100,0.5957951436911644,1.3,30,50.3846008517289
195,_59eg4ggri,cycle_and_distribution,misaligned,,,0.0630957344480193,1.44637444310009,0.0082723015971403,100,0.4591012602204738,0.2,30,42.473469775867095
196,_59eg4ggri,euclidean,misaligned,,,0.1258925411794167,,,100,0.927400946209819,1.1,30,50.01977804203023
197,_59eg4ggri,discrete,misaligned,,,0.0039810717055349,,,100,0.1301542088756376,1.4,30,51.5396512745158
198,_5c8k0cuvw,cycle_and_distribution,aligned,,,0.1258925411794167,1.4705463668457162,0.0079994498086994,100,0.8645694046984644,0.3,30,31.83510649062952
199,_5c8k0cuvw,euclidean,aligned,,,0.0630957344480193,,,100,0.9931184686371974,0.5,30,42.74025892219542
200,_5c8k0cuvw,discrete,aligned,,,0.001,,,100,0.6227729383267829,1.5,30,53.14489053383745
201,_5cpzkl0db,cycle_and_distribution,misaligned,,,0.0316227766016837,0.7718777526479474,0.0021877678223327,100,0.7602242701236288,0.5,30,49.99101244028249
202,_5cpzkl0db,euclidean,misaligned,,,0.1258925411794167,,,100,0.9816423729636664,1.2000000000000002,30,52.73410635979813
203,_5cpzkl0db,discrete,misaligned,,,0.0019952623149688,,,100,0.8237260971883825,1.4,30,51.58615865051853
204,_5cuto35s3,cycle_and_distribution,aligned,,,0.251188643150958,1.0231924627406837,0.008306141040553,100,0.3374525403252971,0.2,30,49.23052882988463
205,_5cuto35s3,euclidean,aligned,,,0.0158489319246111,,,100,0.5743895379443431,0.3,30,50.10588295537465
206,_5cuto35s3,discrete,aligned,,,0.001,,,100,0.3929537607398393,1.3,30,52.70802513944198
